Toyota,5,7,10,12,9,8,6,10,11,15,13,14
Honda,3,2,4,5,3,4,6,7,8,6,4,3
Ford,6,5,7,8,9,10,12,13,14,12,11,9
BMW,8,10,12,14,13,11,15,17,16,19,20,18
Audi,2,3,1,4,5,6,3,2,1,3,4,2
Tesla Model S,7,9,11,13,12,10,8,14,15,17,19,16
Chevrolet Malibu,4,3,6,5,7,8,9,11,10,12,14,13
Nissan Altima,5,6,7,8,6,5,7,9,11,10,8,7
Mercedes C-Class,10,12,15,14,13,11,9,8,7,6,5,4
Hyundai Tucson,3,4,5,6,7,8,9,10,12,11,9,8
Subaru Outback,6,8,10,9,11,12,15,14,13,17,16,15
Lexus RX,9,10,12,11,13,14,16,18,17,19,20,18
Volkswagen Passat,2,3,5,4,6,7,8,9,10,12,11,10
Jeep Grand Cherokee,7,9,11,13,15,17,18,16,14,12,11,10
Porsche 911,12,14,16,18,19,20,21,23,22,25,27,26
